planeableitem
Id,Name,Parent,Description,Priority,ItemType
82,3312Q,63,TUS marks hourly time blocks that were affected by loss of PowerMatcher connection as unrepresentative when PowerMatcher is lost during a configurable amount of time,Should,requirement
83,3312R,63,"TUS automatically sets a weighted average bid curve of the day before for the corresponding hour

*Rationale: TUS is not allowed to send a flat-line bid curve to the APX*",Should,requirement
84,3312S,63,The operator has the ability to choose a weighted average bid curve from the database that corresponds with the same hour,Should,requirement
85,3312T,63,The operator has to ability to manually change the weighted average bid curve similar to the functionality to change bid curves for other hours,Must,requirement
86,3.3.1.3 Send APX limit order,50,,Must,requirement
87,3313A,86,All orders are placed in units MWh and Euro/MWh. MWh is incremented by steps of 0.1. Euro/MWh is incremented by steps of 0.01.,Must,requirement
88,3313B,86,All hourly orders cannot exceed a maximum hourly volume that is configured by the administrator or that is present in the cluster (intersection of positive y axis and asymptote of the bid curve),Must,requirement
89,3313C,86,The orders have to be authorized by the manager. (can be an automatic authorization),Must,requirement
90,3313D,86,"The operator must be able to withdraw orders, see APX, EL6.1, for the XML format.",Must,requirement
91,3313E,86,"TUS automatically sends out the APX orders at a configurable time (default 11:30 GMT + 1).

Keep trying until received (see Interfacing for confirmation)",Must,requirement
92,3313F,86,"TUS keeps track of winter, summer time, leap years, and schedules at the right time and has to ability to place an order for a 25th hour if this is required from the APX specification",Should,requirement
93,3313G,86,Give warning message and send warning message if drop-off failed before a configurable time (default 11:45 GMT + 1) (CET is optional) by parsing the response XML file,Should,requirement
94,3313H,86,"The operator can manually initiate the send at any time before the automated time by pressing a ‘send button’ (see Operator)

TUS asks for a confirmation, TUS places the bids in the Eurolight Trading platform folder

Rationale: This functionality is important because the time of placing the order is important; bidding to early might result in a higher settlement price, too late might result in no settlement.",Should,requirement
95,3313I,86,"The operator can manually export the APX orders in the specified Eurolight XML format (See APX, EL6.1) so that it can manually put XML file in the client folder",Must,requirement
96,3313J,86,The APX interface is set up as an replaceable module.,Should,requirement
97,3313K,86,TUS periodically checks the client folders that no old XML files have remained after response of APX that orders have been successfully received. It removes them otherwise. TUS also checks if XML files were successfully pushed to the designated folders.,Should,requirement
98,3313L,86,It should be possible to configure multiple APX client folders for sending XML files to redundant windows servers with running APX clients. TUS should check if the Windows machine is active and otherwise sends the push file to the redundant server. TUS gives warning message.,Should,requirement
99,3313M,86,"Show connection APX on status dashboard.
*TUS receives response xml files from the Eurolight Trading Platform which give an error when dropoff failed.*",Should,requirement
100,3313N,86,"Logging of connection status, sends, corruption, errors",Must,requirement
101,3313O,86,The .ini and configuration file for the APX client can be configured and generated by a TUS menu (administrator function),Should,requirement
102,3313P,86,The orders are archived,Must,requirement
103,3313Q,86,In future versions it should be possible to send block orders,Should,requirement
104,3313R,86,In future versions it should be possible to act on market re-opening,Should,requirement
105,3.3.1.4 Retrieve APX settlement,50,,Must,requirement
106,3314A,105,"TUS automatically retrieves the APX index for every hour of the next day between 12:40 – 13:05

Keep trying until received",Must,requirement
107,3314B,105,"TUS automatically retrieves the official APX settlement for every hour of the next day at 16:00.

Keep trying until received",Must,requirement
108,3314C,105,"TUS validates the settlements calculated from the 12.40 retrieved APX index with the official settlement at 16.00.

*If validation is inconsistent then send warning message and E-Program and target bid curves are changed to match the official settlement*",Should,requirement
109,3314D,105,Visual feedback of the Settlement,Should,requirement
110,3314E,105,Visual feedback of APX connection status in dashboard,Should,requirement
111,3314F,105,The operator can manually enter the settlement volume and price for each hour,Must,requirement
112,3314G,105,Give warning message and send warning email if index retrieval failed after 100 retries,Should,requirement
113,3314H,105,"Logging of connection status, sends, corruption, errors",Must,requirement
114,3314I,105,Archive settlement,Must,requirement
115,3314J,105,"When placing orders on APX has failed, all settlements are set to zero volume, give warning message",Should,requirement
116,3314K,105,"When retrieving APX Index has failed, all settlements are constructed using APX Index of the day before, give warning message",Should,requirement
117,3314L,105,The operator has the ability to manually set the target bid curves for each timeframe (see construct PowerMatcher bid curves),Should,requirement
118,3314M,105,"When no orders could be placed, E-program is set to zero volume for each timeframe",Should,requirement
119,3314N,105,"When no APX Index could be retrieved, E-program is constructed using the APX Index of the day before.",Should,requirement
120,3.3.1.5 Generate E-Program,50,"The BRP requires an ‘E-Program’. The E-Program has to be received by the BRP before a configurable time (the BRP has to deliver his E-Program to TenneT before 14:00, so the retailer has to supply at least some time before 14:00 o’clock).The algorithm that derives the E-Program from the APX settlement is as follows:
Earlier, during Construct APX spot limit orders set of 24 bid curves were archived for every 24 hours. The retrieved set of 24 index prices from the Eurolight Trading Platform are mapped to the 24 bid curves. By applying the hourly index the corresponding set of 24 volumes can be read. The volumes should correspond to the E-program that APX delivers to TenneT. The E-Program is received as a set of 96 PTE’s. Therefore the received volume per hour is divided in four to fill each PTE in the E-Program.
An example format is available that is used to send .csv files to the BRP ‘PVNed’ (see Appendix E). This format is market conform however it should be possible to allow choosing different formats. All volumes are in kWh.",Must,requirement
121,3315A,120,TUS automatically creates the E-Program when the APX settlement is retrieved,Must,requirement
122,3315B,120,Automatic Visual feedback of E-Program,Should,requirement
123,3315C,120,Operator can manually change the E-Program to be able to correct for mistakes,Must,requirement
124,3315D,120,"The E-program is exported (and send) at a configurable time

*Impossible to configure later than 14:00 o’clock*",Must,requirement
125,3315E,120,The E-Program generation is set up as a replaceable module,Should,requirement
126,3315F,120,TUS automatically exports the E-Program,Must,requirement
127,3315G,120,The manager can manually export the E-program (see manager),Must,requirement
128,3315H,120,The E-program is exported in the ‘PVned’ (see Appendix E) .csv format,Must,requirement
129,3315I,120,It should be possible to choose between different .csv templates,Should,requirement
130,3315J,120,The E-program is archived,Must,requirement
131,3.3.1.6 Retrieve imbalance prices,50,"TenneT is the Dutch TSO that publishes the prices on the imbalance market.
The interface: http://www.tennet.org/xml/balancedeltaprices/balans-delta.xml
In the case that TenneT does not publish a price; price field remains empty, it did so because it did not want to (de)activate any power. In this case TUS should record the price as a NaN value. Usually this means that TenneT only publishes a price for either upward regulation or downward regulation. It is possible, however, that both upward and downward regulation appear in the same minute, then TenneT publishes two prices as indicated by (<min_price> or <max_price>) .
In the case that TenneT produces empty values over an entire row (except for the sequence number) it means that there are internal processing errors at TenneT. Empty values are updated at a later time when the information becomes available. TUS should not act on imbalance when no balancing prices are known.",Must,requirement
132,3316A,131,"TUS automatically collects the imbalance prices

Warning message if retrieval fails",Must,requirement
133,3316B,131,The operator can manually import imbalance XML files,Should,requirement
134,3316C,131,Show connection TenneT on status dashboard,Should,requirement
135,3316D,131,The TenneT interface is built as a replaceable module,Should,requirement
136,3316E,131,"Logging of connection status, sends, corruption, errors",Must,requirement
137,3316F,131,"In case of failure to retrieve imbalance prices, TUS sends no imbalance bid curves to the PowerMatcher.",Must,requirement
138,3318A,150,The PM objective agent is set up as an replaceable module,Should,requirement
139,3318B,150,"TUS continuously sends bid curves to the PowerMatcher with every price update or when a new bid curve becomes active for a hour or due to a changing imbalance price

*Warning message if sending failed*",Must,requirement
140,3318C,150,TUS sends the correct bid curve belonging to the corresponding PTE/hour,Must,requirement
141,3318D,150,Visual feedback of connection status with PowerMatcher in Status dashboard,Should,requirement
142,3318E,150,"Logging of connection status, sends, corruption, errors",Must,requirement
143,3317F,149,API to receive parameter settings from an external source (bid curve construction is done inside TUS),Should,requirement
144,3317E,149,API to automatically receive target and imbalance bid curves from an external source (bid curve construction is done outside TUS),Should,requirement
145,3317D,149,Archive target & imbalance bid curves separately,Must,requirement
146,3317C,149,Visual feedback of construction of bid curves,Should,requirement
147,3317B,149,"TUS constructs a bid curve to be offered to the PM based on the operators imbalance settings
*Imbalance price(s) (dynamic x coordinate(s)), OR
Imbalance price(s) (static, where the price(s) are set by the operator)
Volume bandwidth parameter (vertical arrow in Figure 8)
Risk bandwidth parameter (horizontal arrow in Figure 8)
Delay parameter [min]*",Must,requirement
148,3317A,149,"TUS constructs a target bid curve to be offered to the PM based on the APX settlement (volume and price for every 15 minutes) and the operator’s parameter settings (see algorithm)

*Volume*, 
*Price*, 
*Bandwidth*",Must,requirement
149,3.3.1.7 Construct PM bid curves,50,,Must,requirement
150,3.3.1.8 Send PowerMatcher bid curves (blue area),50,,Must,requirement
151,3318F,150,"TUS is capable of communicating with PowerMatcher on physically separated servers or directly

*Rationale: PowerMatcher must be able to run on a different server as TUS*",Must,requirement
152,3318G,150,TUS is capabale of placing bids via broadband or narrowband protocol (see FAN_-_PowerMatcher_Communication_Protocol_Specification_r0.7v7),Must,requirement
153,3318H,150,TUS follows bid encoding as specified in FAN_-_PowerMatcher_Communication_Protocol_Specification_r0.7v7,Must,requirement
154,3318I,150,"TUS is capable of receiving ‘Market Basis’ updates as defined in FAN_-_PowerMatcher_Communication_Protocol_Specification_r0.7v7 and constructs its based its bid curve based on these configurations (e.g. min & max price, price steps, units etc.)",Must,requirement
155,3318J,150,TUS delivers a warning in case of a failing connection,Must,requirement
156,3318K,150,TUS picks up with the original program after reconnecting with the PowerMatcher,Must,requirement
157,3318L,150,should be extendible with a compensation algorithm,Should,requirement
158,3.3.2.1 General,159,,Must,requirement
159,3.3.2 Operator,,,Must,requirement
160,3321A,158,Logon/off using a secure authentication mechanism,Must,requirement
161,3321B,158,The GUI is an isolated module which communicates with the backend via an API.,Should,requirement
162,3321C,158,GUI must be implemented as a web application,Must,requirement
163,3321D,158,"It must be possible to switch between tabs (for instance day ahead/ real time, or various graphs)",Must,requirement
164,3321E,158,"The GUI is interactive in the sense that the operator can change the date, timespan, zoom etc.",Must,requirement
165,3321F,158,The operator can print graphs,Must,requirement
166,3321G,158,The graphs must have a high detail look / feel.,Must,requirement
167,3321H,158,All graphs must have the same time scale,Must,requirement
168,3321I,158,The operator can save graphs as images,Should,requirement
169,3321J,158,The operator can import / export all relevant data (see following section),Must,requirement
170,3321K,158,"The operator can export the data of choice in a format of choice (excel, .csv, etc.)",Should,requirement
171,3321L,158,Operator actions and changed settings are logged.,Must,requirement
172,3321M,158,All produced data is archived,Must,requirement
173,3.3.2.2 Analyze PowerMatcher historic behavior,159,,Must,requirement
174,3322A,173,The GUI provides insight in cluster historic flexibility over time,Should,requirement
175,3322B,173,The GUI shows historic aggregated bid profiles retrieved from the PowerMatcher,Should,requirement
176,3322C,173,"The GUI provides insight in historic PowerMatcher prices, historic APX prices and historic balancing market prices",Should,requirement
177,3322D,173,"Query aggregated bid and price
By period
Per day-type
Compute average bid / price",Should,requirement
178,3322E,173,Export historic PowerMatcher market data query results,Should,requirement
179,3.3.2.3 Configure day ahead parameters,159,"The purpose of the ‘day ahead’ use case is to retrieve historic PowerMatcher aggregate bid curves. The operator has some visualization and data manipulation tools to study the behavior and flexibility of its cluster (this functionality will be extended in the future, for the first version this will be basic).

In addition the operator can view the APX orders that were created by the TUS algorithm. The operator can manually alter the shape of the orders before sending them to the APX.",Must,requirement
180,3323A,179,The GUI can show APX orders per hour that were created by TUS,Must,requirement
181,3322B,179,The GUI can show APX orders per hour that were created by an external application,Should,requirement
182,3322C,179,The operator can manually alter the APX limit/block order bid curves in a graph (move set points with the mouse),Should,requirement
183,3322D,179,The operator can set the ‘Offset’ parameter,Must,requirement
184,3322E,179,The operator can set the ‘Cutoff’ parameter,Must,requirement
185,3322F,179,The operator can choose APX limit/block order templates from the past,Should,requirement
186,3322G,179,The operator can assign bid curves as future templates,Should,requirement
187,3322H,179,The operator can save the altered bid curves (and overwrite the standard TUS created bid curves),Must,requirement
188,3322I,179,The operator can instantiate ‘Send APX limit/block order’,Should,requirement
189,3322J,179,The operator has visual feedback of all settlement prices and volumes as received by the APX per hour,Must,requirement
190,3322K,179,The operator has visual feedback of the E-Program per 15 minutes as constructed by TUS on the APX settlement received on the current day,Must,requirement
191,3322L,179,The operator can manually change the E-program per 15 minutes,Must,requirement
192,3322M,179,The operator can save the E-Program; this program is then exported and is the running program for TUS the following day,Should,requirement
193,3322N,179,In the future it should be possible to add functionality to trade on other markets like OTC or Endex,Should,requirement
194,3.3.2.4 Configure real time parameters,159,The ‘real time’ use case configures parameters that affect the s for acting on imbalance prices.,Must,requirement
195,3324A,194,The operator has visual feedback of the E-Program per 15 minutes as constructed by TUS/operator on the previous day,Should,requirement
196,3324B,194,The operator can set the parameters (see 3.3.1.7) of the PM target bid curves,Must,requirement
197,3324C,194,The operator has instant visual feedback of the PM target bid curves that he can modify using the parameters,Should,requirement
198,3324D,194,The interface shows (near) real time balancing market prices as published by TenneT,Should,requirement
199,3324E,194,The operator can set the parameters (see 3.3.1.7) for the imbalance bid curves that are to be send to the PowerMatcher to influence the cluster.,Must,requirement
200,3324F,194,The operator has instant visual feedback of the imbalance bid curves that he can modify using the parameters,Should,requirement
201,3324G,194,The operator has to save the settings for the target and imbalance bid curves. The settings are saved and are in effect until changed (first version). Second version will include the ability to schedule future settings.,Should,requirement
202,3324H,194,In the future it should be possible to add functionality to trade on other markets like APX intraday trading,Should,requirement
203,3.3.2.5 Import / Export data,159,All data streams that are automatically collected or send by TUS can be manually imported by the operator in case of failures in the automatic process. These requirements have been mentioned before in the previous paragraphs.,Must,requirement
204,3325A,203,Must be able to import historic PM bid curves,Must,requirement
205,3325B,203,Must be able to import APX market prices,Must,requirement
206,3325C,203,Must be able to import external (optimized) APX orders,Must,requirement
207,3325D,203,Must be able to enter APX settlement by hand,Must,requirement
208,3325E,203,Must be able to import PM target bid curves,Must,requirement
209,3325F,203,Must be able to import balancing market prices (xml),Must,requirement
210,3325G,203,Must be able to export APX orders,Must,requirement
211,3325H,203,Must be able to export E-Program,Must,requirement
212,3325AI,203,Must be able to export PowerMatcher Objective bid curves,Must,requirement
213,3.3.2.6 Show Status Dashboard,159,The status dashboard is available to all human actor types.,Must,requirement
214,3326A,213,Show connection status PowerMatcher on Status Dashboard,Should,requirement
215,3326B,213,Visual feedback of last received bid curve on Status Dashboard,Should,requirement
216,3326C,213,Show connection APX on Status Dashboard,Should,requirement
217,3326D,213,Visual feedback of last received settlement,Should,requirement
218,3326E,213,Show connection TenneT on Status Dashboard,Should,requirement
219,3326F,213,Show logging details,Must,requirement
220,3.3.3 Manager,,,Must,requirement
221,3.3.4 Administrator,,"The manager connects to the application via the internet and has to logon/off according to an authentication mechanism. These processes are logged.

An important task of the administrator is to add or remove new device agents to the cluster. This does not mean any CRM type of functionality. Since the PowerMatcher has no user interface it is required that there is some basic functionality for energy retailers to add device agents to its cluster. The admin can administer the device agent. The reader is referred to the FAN documentation for adding/removal of agents to the cluster.",Must,requirement
222,3.3.5 Technical Administrator,,,Must,requirement
223,3.3.6 Functional Administrator,,,Must,requirement
224,333A,255,Logon/off using a secure authentication mechanism,Must,requirement
225,333B,255,The manager has all the abilities of the operator and more,Should,requirement
226,333C,255,The manager can start/stop the TUS application,Must,requirement
227,333D,255,The manager can set TUS to manual/autonomous mode,Must,requirement
228,333E,255,The manager can authorize APX nomination bid curves,Must,requirement
229,333F,255,The manager can automate authorization of the APX nominations (default),Must,requirement
230,334A,256,Logon/off using a secure authentication mechanism,Must,requirement
231,334B,256,"The administrator can configure all the scheduled times in the application and no later than:

* 12.00h for sending APX orders
* 12.40-13.05 retrieving APX index
* 14.00 sending E-Program
* 16.00 retrieving official APX settlement",Should,requirement
232,334C,256,"The administrator can add / remove device agents

* Agent ID, username/password",Must,requirement
233,334D,256,"The administrator can directly access the database (still under discussion, check with Alliander)",Should,requirement
234,334E,256,"The administrator can change PowerMatcher configuration settings

* PowerMatcher connection (IP address…see FAN documentation)
* PM price update rate
* Data resolution (nr. of data points #) used for archiving",Should,requirement
235,334F,256,"The administrator can change external source configuration

* APX connection setting (see APX documentation for .ini and configuration file)
* BRP connection settings
* TenneT connection setting (see TenneT documentation)",Should,requirement
236,334G,256,The administrator can manage authentication and authorization credentials of the operator(s) and manager(s),Should,requirement
237,334H,256,Manage API configurations,Should,requirement
238,335A,257,The technical administrator can maintain/patch TUS without interrupting operations (no downtime),Should,requirement
239,335A,258,"The functional administrator can add new/update algorithms to TUS (this is not the same as the API for an external optimizer)

- for constructing APX bid curves
- for translating APX bid curves to a set of limit orders
- for generating an E-Program
- for constructing PowerMatcher target and imbalance bid curves",Should,requirement
240,335B,258,"The newly added algorithms become available as new options in TUS, a new default can be set",Should,requirement
241,335C,258,"The functional administrator can manage the authentication and authorization credentials of the trade operator, manager and administrator",Should,requirement
242,4 Non-functional requirements,,,Must,requirement
243,4.3.2 Resource utilization (F),242,"TUS must be capable of achieving aforementioned capacity requirement on a single ‘commodity specification’ server (e.g. running a Linux or Windows operating system and equipped with no more than 16 GB of memory). TUS must be capable of scaling linearly in computation requirements (CPU, memory, etc.) with the addition of new TUS customers as well as with the addition of PowerMatcher device agents.

Device agent bid curve packets are typically 4 kbytes. With a price update rate of once per minute and 1.000.000 device agents the application and bandwidth resource should be able to handle 4Gbyte / min and 100 Mbyte / s.",Must,requirement
244,Structuur,,,Must,requirement
245,OSGi framework,254,,Must,requirement
246,Power Manager netwerk,254,,Must,requirement
247,Backend structuur,254,,Must,requirement
248,Database model,254,,Must,requirement
249,Interne API's,254,,Must,requirement
250,Grafieken plugin,254,,Must,requirement
251,Basis voor JQuery etc.,254,,Must,requirement
252,Authorisatie framework,254,,Must,requirement
253,Alarmering mechanisme,254,Zowel email als SMS,Must,requirement
254,Frameworks etc,244,,Must,requirement
255,Requirements,220,,Must,requirement
256,Requirements,221,,Must,requirement
257,Requirements,222,,Must,requirement
258,Requirements,223,,Must,requirement
259,demo,,,Must,functionpoint

fptoview
Id,View,FunctionPoint,Order,Xoffset,Yoffset
1,2,9,0,-133.0,-25.0
2,2,10,1,0.0,0.0
3,2,11,2,-34.0,18.0
4,2,12,3,-31.0,12.0
5,2,13,4,-39.0,-17.0
6,2,14,5,36.0,-16.0
7,3,15,1,-78.0,-46.0
8,3,16,3,3.0,-24.0
9,3,17,4,-76.0,-42.0
10,3,18,7,-43.0,66.0
11,3,19,8,-38.0,-47.0
12,3,20,0,-63.0,-43.0
13,3,21,6,17.0,-24.0
14,3,22,5,16.0,6.0
15,3,23,2,0.0,0.0
16,4,24,9,-24.0,21.0
17,4,25,0,-60.0,22.0
18,4,26,4,-40.0,18.0
19,4,27,6,-73.0,-45.0
23,4,31,2,-21.0,27.0
24,4,32,3,-4.0,23.0
25,4,33,1,0.0,0.0
26,4,34,7,42.0,1.0
27,4,35,8,-9.0,-11.0
28,4,36,10,14.0,1.0
29,4,37,5,50.0,-11.0
30,3,38,9,-8.0,-29.0
31,3,39,10,-132.0,-41.0
32,3,40,11,-1.0,-40.0
33,5,41,0,-83.0,-44.0
34,5,42,1,-101.0,-45.0
35,5,43,2,18.0,-11.0
36,5,44,3,21.0,-11.0
37,7,45,0,0.0,0.0
38,8,46,2,19.25,-5.0
39,8,47,1,42.0,20.0
40,8,48,0,2.0,-14.0

colorpalette
Id,Color
1,#ffffff
2,Cornflower Blue
3,#00529c
4,#f2f2f2
5,#838383

functionpoint
Id,Connection,Block,isResponse
9,16,,1
10,18,,
11,19,,1
12,17,,1
13,17,,0
14,20,,1
15,6,,
16,10,,1
17,8,,1
18,,13,
19,13,,1
20,4,,1
21,21,,1
22,21,,
23,11,,
24,14,,1
25,13,,0
26,9,,
27,22,,
28,,19,
29,,,
30,,,
31,21,,
32,21,,1
33,,13,
34,23,,
35,23,,1
36,24,,
37,25,,
38,25,,
39,26,,
40,27,,
41,14,,
42,28,,1
43,29,,
44,4,,
45,,40,
46,3,,1
47,41,,
48,42,,1
49,25,,
259,44,,1

worker
Id,Name

blockrepresentation
Id,Block,View,x,y,height,width,Order,Color,Font,IsMultiple
2,2,1,-992.0,-112.0,244.0,919.0,1,3,,
3,1,1,-817.0,173.0,102.0,257.0,2,2,,
4,3,1,-780.0,208.0,44.0,194.0,3,2,,
5,4,1,-619.0,-280.0,110.0,276.0,0,3,,
6,5,1,-603.0,-250.0,33.0,110.0,4,1,,
7,6,1,-838.0,78.0,29.0,136.0,5,2,,
8,7,1,-250.0,-26.0,30.0,100.0,8,2,,
9,8,1,-458.0,42.0,56.0,100.0,9,2,,
10,9,1,-531.0,-100.0,30.0,100.0,11,2,,
11,10,1,-937.0,41.0,31.0,178.0,12,2,,
12,11,1,-952.0,-69.0,31.0,193.0,13,2,,
13,12,1,-960.0,-33.0,32.0,206.0,14,2,,
14,13,1,-1092.0,-31.0,32.0,125.0,15,2,,
15,14,1,-1338.0,-72.0,86.0,154.0,16,2,,
16,15,1,-1300.0,-39.0,86.0,152.0,17,2,,
17,16,1,-508.0,-44.0,35.0,166.0,18,2,,
18,17,1,-458.0,8.0,30.0,100.0,19,2,,
19,18,1,-228.0,5.0,28.0,64.0,20,2,,
20,19,1,-951.0,2.0,31.0,196.0,21,2,,
21,20,1,38.0,-140.0,113.0,136.0,22,2,,
22,21,1,-162.0,-99.0,33.0,148.0,23,2,,
23,22,1,-676.0,39.0,34.0,174.0,24,2,,
24,23,1,-298.0,-54.0,174.0,206.0,6,4,,
25,24,1,-473.0,-249.0,30.0,100.0,25,1,,
26,25,1,-678.0,79.0,30.0,173.0,26,2,,
27,26,1,-247.0,34.0,30.0,100.0,7,2,,
28,27,1,-281.0,70.0,34.0,175.0,10,2,,
29,28,2,-258.0,-7.0,70.0,101.0,0,2,,
30,1,2,-273.0,123.0,27.0,132.0,1,2,,
31,20,2,-29.0,17.0,30.0,100.0,2,2,,
32,14,2,-465.0,13.0,30.0,100.0,3,1,,
33,29,2,-258.0,-96.0,30.0,100.0,4,2,,
34,30,2,-119.0,-108.0,30.0,150.0,5,2,,
35,1,3,-482.0,-141.0,33.0,132.0,0,2,,
36,6,3,-293.0,-141.0,31.0,138.0,1,2,,
37,10,3,-98.0,-138.0,25.0,189.0,2,2,,
38,11,3,-115.0,-62.0,30.0,192.0,3,2,,
39,12,3,-125.0,39.0,26.0,212.0,4,2,,
40,13,3,236.0,38.0,28.0,122.0,5,2,,
41,14,3,427.0,39.0,30.0,100.0,6,2,,
42,4,3,325.0,-311.0,58.0,129.0,7,2,,
43,14,4,-417.0,-98.0,30.0,100.0,0,2,,
44,13,4,-278.0,-101.0,29.0,129.0,1,2,,
45,19,4,-59.0,-102.0,33.0,174.0,2,2,,
46,21,4,155.0,-98.0,28.0,148.0,3,2,,
47,20,4,368.0,-97.0,30.0,100.0,4,2,,
48,4,4,-63.0,-301.0,29.0,133.0,5,2,,
49,8,4,-35.0,16.0,30.0,100.0,6,2,,
50,8,3,183.0,-119.0,30.0,100.0,8,2,,
51,20,5,-406.0,-158.0,30.0,100.0,0,,,
52,21,5,-247.0,-158.0,30.0,144.0,1,,,
53,22,5,-50.0,-155.0,27.0,176.0,2,,,
54,6,5,-30.0,-71.0,30.0,137.0,3,,,
55,1,5,-30.0,-2.0,27.0,136.0,4,,,
56,28,6,-180.0,-242.0,30.0,100.0,0,2,,
57,3,6,-228.0,-189.0,34.0,199.0,1,2,,
58,31,6,-363.0,-97.0,29.0,169.0,2,2,,
59,31,6,-141.0,-93.0,30.0,169.0,3,2,,
